,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8485,1.408,3.05,challenger,favori,0.48912166590757666,0.5108783340924233
8486,2.2,1.735,challenger,favori,0.3753490251840901,0.6246509748159099
8487,1.5319999999999998,2.7,favori,favori,0.4389080011343751,0.5610919988656249
8488,2.5,1.602,favori,favori,0.304533197359503,0.695466802640497
8489,1.455,2.95,favori,favori,0.21737666968655356,0.7826233303134464
8490,1.578,2.55,favori,favori,0.20211078279864236,0.7978892172013576
8492,1.654,2.37,favori,favori,0.0348547243209536,0.9651452756790464
8493,1.3730000000000002,3.28,favori,favori,0.21697805604206577,0.7830219439579342
8499,2.62,1.556,challenger,favori,0.2307780226682632,0.7692219773317368
8500,1.735,2.2,challenger,favori,0.2411182955277188,0.7588817044722812
8501,1.208,4.95,favori,favori,0.15104206928003372,0.8489579307199663
8502,1.709,2.25,favori,favori,0.13130692505179908,0.8686930749482009
8503,1.685,2.3,favori,favori,0.3670703632820973,0.6329296367179027
8504,1.5490000000000002,2.62,challenger,favori,0.14238758298040377,0.8576124170195962
8505,1.235,4.65,favori,favori,0.18814106956300414,0.8118589304369959
8510,1.513,2.75,favori,favori,0.0938903436047448,0.9061096563952552
8512,1.575,2.58,favori,favori,0.41388287687917535,0.5861171231208246
8513,1.339,3.55,challenger,favori,0.20935217326623556,0.7906478267337644
8515,1.962,1.893,challenger,favori,0.16258729473056677,0.8374127052694332
8517,1.211,5.0,favori,favori,0.24406612568555197,0.755933874314448
8518,1.3230000000000002,3.65,favori,favori,0.2712185749761846,0.7287814250238154
8519,2.25,1.709,challenger,favori,0.2543223691930029,0.7456776308069971
8520,1.235,4.6,favori,favori,0.45016033119078624,0.5498396688092138
8521,2.02,1.847,challenger,favori,0.1762123981102871,0.8237876018897129
8522,7.0,1.129,challenger,favori,0.07647691976482451,0.9235230802351755
8523,2.28,1.694,favori,favori,0.19233563036351886,0.8076643696364811
8524,1.3130000000000002,3.75,favori,favori,0.2813688134605551,0.7186311865394449
8525,1.029,23.5,favori,favori,0.30463882603540404,0.695361173964596
8526,1.513,2.72,challenger,favori,0.1958141573105009,0.8041858426894991
8527,1.435,3.05,challenger,favori,0.30748312508732123,0.6925168749126788
8528,1.274,4.15,challenger,favori,0.20329260243976754,0.7967073975602325
8530,1.213,4.95,favori,favori,0.06665156416344009,0.9333484358365599
8531,1.308,3.75,favori,favori,0.3442260765753561,0.6557739234246439
8533,1.3230000000000002,3.65,favori,favori,0.3241126620728014,0.6758873379271986
8534,1.877,1.98,favori,favori,0.1920982791628667,0.8079017208371333
8536,1.345,3.5,challenger,favori,0.25832844579890846,0.7416715542010915
8537,1.241,4.55,favori,favori,0.09244189506315836,0.9075581049368416
8538,1.08,9.75,favori,favori,0.08589062248956669,0.9141093775104333
8539,1.3330000000000002,3.55,favori,favori,0.13947846898670235,0.8605215310132976
8540,1.25,4.35,favori,favori,0.3436013093852408,0.6563986906147592
8541,1.556,2.6,challenger,favori,0.42178626447239864,0.5782137355276014
8542,2.2,1.735,favori,favori,0.3865659103197836,0.6134340896802164
8543,2.59,1.571,favori,favori,0.11151643170790126,0.8884835682920987
8544,1.3330000000000002,3.6,favori,favori,0.30812544442782164,0.6918745555721784
8545,1.575,2.56,challenger,favori,0.4316225705651181,0.5683774294348819
8546,1.308,3.8,favori,favori,0.17862182378988944,0.8213781762101106
8547,1.4169999999999998,3.2,favori,favori,0.4041768351945826,0.5958231648054174
8548,1.595,2.52,challenger,favori,0.14380452046635184,0.8561954795336482
8550,1.233,4.65,favori,favori,0.09994491129477412,0.9000550887052259
8551,1.69,2.27,favori,challenger,0.5151960847371995,0.48480391526280053
8552,1.057,14.5,favori,favori,0.19350159021321411,0.8064984097867859
8553,1.083,10.0,favori,favori,0.14703799009831786,0.8529620099016821
8555,1.041,18.5,favori,favori,0.25685698445776883,0.7431430155422312
8556,2.06,1.82,challenger,favori,0.29172805791038026,0.7082719420896197
8557,1.676,2.32,favori,favori,0.38071351999908964,0.6192864800009104
8558,1.29,4.0,favori,favori,0.4914799030505874,0.5085200969494126
8559,2.6,1.568,favori,favori,0.36697742428106783,0.6330225757189322
8561,2.5,1.595,challenger,favori,0.416264084493268,0.583735915506732
8562,1.585,2.55,challenger,favori,0.3700476049540009,0.6299523950459991
8563,1.227,4.75,favori,challenger,0.6402094125225251,0.3597905874774749
8565,1.575,2.58,challenger,favori,0.49313023890954666,0.5068697610904533
8566,2.64,1.556,challenger,favori,0.3171421778094762,0.6828578221905238
8567,1.108,8.0,favori,favori,0.3711670351726244,0.6288329648273756
8568,2.38,1.649,favori,favori,0.27627402536839374,0.7237259746316063
8569,1.658,2.36,challenger,favori,0.3926019047207592,0.6073980952792408
8571,1.813,2.07,challenger,favori,0.1722472519449174,0.8277527480550826
8572,1.304,3.79,favori,favori,0.42628102205721063,0.5737189779427894
8573,2.71,1.529,challenger,favori,0.3019561227060047,0.6980438772939953
8574,1.048,16.0,favori,favori,0.30790126713578747,0.6920987328642125
8575,2.53,1.592,challenger,challenger,0.6205761772050441,0.3794238227949559
8576,1.16,5.6,favori,favori,0.46823489563924736,0.5317651043607526
8577,1.526,2.7,favori,favori,0.47613291120660883,0.5238670887933912
8578,1.408,3.1,challenger,challenger,0.5736312233234635,0.42636877667653644
