,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
178,4.95,1.211,favori,favori,0.17584993788562853,0.8241500621143715
179,5.25,1.182,favori,favori,0.14849249033362522,0.8515075096663748
180,13.0,1.063,favori,favori,0.10145833041310293,0.8985416695868971
181,12.5,1.067,favori,favori,0.13250537559799314,0.8674946244020069
182,2.2,1.735,challenger,favori,0.2378926878311366,0.7621073121688634
183,3.23,1.395,favori,favori,0.3138687823047023,0.6861312176952977
184,1.685,2.3,challenger,favori,0.32767514997116476,0.6723248500288352
185,1.943,1.909,challenger,favori,0.3365905519303959,0.6634094480696041
186,5.2,1.194,favori,favori,0.23618677430676704,0.763813225693233
187,2.3,1.69,favori,favori,0.44973486740639723,0.5502651325936028
188,6.51,1.143,favori,favori,0.12857715167774408,0.8714228483222559
189,3.8,1.3030000000000002,favori,favori,0.21509161235543073,0.7849083876445693
190,5.35,1.183,favori,favori,0.22217013290622334,0.7778298670937767
191,2.5,1.602,favori,favori,0.46446539874614745,0.5355346012538525
192,1.3230000000000002,3.6,challenger,favori,0.3648309271227218,0.6351690728772782
193,1.459,2.93,favori,favori,0.4837170507657176,0.5162829492342824
194,4.0,1.286,favori,favori,0.10761861395548411,0.8923813860445159
195,4.95,1.213,favori,favori,0.1987993003400741,0.8012006996599259
196,3.2,1.408,challenger,favori,0.19323812249348926,0.8067618775065107
197,2.88,1.469,challenger,favori,0.37073271350278114,0.6292672864972189
198,5.48,1.1909999999999998,favori,favori,0.25183507033647023,0.7481649296635298
199,2.35,1.662,challenger,favori,0.3806949522500611,0.6193050477499389
200,15.0,1.057,favori,favori,0.08236077897186178,0.9176392210281382
201,5.9,1.163,favori,favori,0.2194047020197366,0.7805952979802634
202,4.2,1.274,favori,favori,0.21810727652238138,0.7818927234776186
203,2.56,1.581,favori,favori,0.341519689093278,0.658480310906722
204,1.725,2.24,challenger,favori,0.35156398416086987,0.6484360158391301
205,8.75,1.103,favori,favori,0.16288320010814716,0.8371167998918528
206,5.15,1.206,challenger,favori,0.24650878768568762,0.7534912123143124
207,2.49,1.61,favori,favori,0.2522896314703731,0.7477103685296269
208,5.0,1.215,favori,favori,0.180074268242299,0.819925731757701
209,3.85,1.308,favori,favori,0.1940480374979695,0.8059519625020305
210,4.13,1.279,challenger,favori,0.16760291812501615,0.8323970818749838
211,3.49,1.352,favori,favori,0.18119643497051952,0.8188035650294805
212,2.45,1.6130000000000002,favori,favori,0.28232861061153425,0.7176713893884658
213,3.35,1.392,challenger,favori,0.22210672304074963,0.7778932769592504
214,4.05,1.2990000000000002,favori,favori,0.32869963461895224,0.6713003653810478
215,3.0,1.444,favori,favori,0.16937187579214497,0.830628124207855
216,2.19,1.741,challenger,favori,0.40715343014767846,0.5928465698523215
217,2.87,1.483,favori,challenger,0.5044405959198299,0.4955594040801701
218,4.41,1.249,favori,favori,0.18462144498495736,0.8153785550150426
219,2.0,1.862,favori,favori,0.2969050478187534,0.7030949521812466
220,2.55,1.571,challenger,challenger,0.6326291510720364,0.36737084892796357
221,3.2,1.4,challenger,favori,0.3882044556860066,0.6117955443139934
222,2.82,1.4880000000000002,challenger,favori,0.444952057333173,0.555047942666827
223,4.85,1.222,favori,favori,0.30099419545720707,0.6990058045427929
224,1.952,1.893,challenger,challenger,0.6315825518585207,0.3684174481414792
225,2.06,1.82,challenger,challenger,0.6055625848885873,0.3944374151114127
